Phenotype_ID,Symptom_or_Phenotype_Name,Domain,Description,Associated_Conditions,Possible_Target_Regions,Candidate_Modalities,Evidence_Level,Assessment_Inputs_Needed,Review_Status
PHE-001,Left Frontal Hypoactivity,Mood / Neural Activity,"Reduced left prefrontal cortical activity relative to right, associated with depressive symptoms and reduced approach motivation. Often identified on qEEG as frontal alpha asymmetry.",MDD; TRD; Anhedonia,Left DLPFC (F3),rTMS (excitatory); iTBS; tDCS (anode left DLPFC),Guideline-supported (for MDD protocol targeting),qEEG; frontal alpha asymmetry assessment; PHQ-9,Reviewed
PHE-002,Rumination-Dominant Depression,Mood / Cognitive,Persistent repetitive negative thinking; self-focused attention; difficulty disengaging from negative content. May involve overactive default mode network.,MDD; TRD; GAD,Left DLPFC; default mode network modulation,rTMS; iTBS; Neurofeedback (alpha asymmetry),Literature-supported,PHQ-9; RRS (Ruminative Response Scale); cognitive assessment,Reviewed
PHE-003,Anhedonic Phenotype,Mood / Reward,Marked loss of interest and pleasure; reduced reward sensitivity; motivational deficits. Associated with ventral striatal hypoactivity.,MDD; TRD; Parkinson's (non-motor),Left DLPFC; ventral striatal circuits (indirectly via PFC),rTMS; iTBS; tDCS,Literature-supported,SHAPS (Snaith-Hamilton Pleasure Scale); MADRS anhedonia items; PHQ-9 items 1-2,Reviewed
PHE-004,High Arousal / Hypervigilance,Anxiety / Autonomic,Elevated physiological arousal; exaggerated startle response; hypervigilance to threat; sleep disruption; muscle tension. Often involves right PFC/amygdala overactivity.,PTSD; GAD; Insomnia; Panic disorder,Right DLPFC (inhibitory); amygdala regulation,rTMS (inhibitory right DLPFC); CES; HRV biofeedback; Neurofeedback,Emerging-Literature-supported,GAD-7; PCL-5 hyperarousal cluster; HRV metrics; skin conductance,Reviewed
PHE-005,Executive Dysfunction,Cognitive,"Impairment in planning, working memory, cognitive flexibility, inhibitory control, and goal-directed behavior. Common across multiple neurological and psychiatric conditions.",ADHD; TBI; Depression; Parkinson's; Stroke,Prefrontal cortex (DLPFC bilateral); frontal-parietal network,tDCS (DLPFC); rTMS; Neurofeedback (theta/beta),Emerging,BRIEF-A/2; Trail Making Test B; Stroop; Digit Span; Wisconsin Card Sorting,Reviewed
PHE-006,Sleep Onset Difficulty,Sleep,Difficulty initiating sleep; prolonged sleep latency (>30 min); pre-sleep cognitive arousal; hyperarousal at bedtime.,Insomnia; Anxiety; Depression; PTSD,Frontal cortex; arousal circuits,CES (Alpha-Stim); tDCS (cathodal DLPFC); Neurofeedback (SMR),Emerging,ISI; sleep diary (SOL metric); PSQI; GAD-7,Reviewed
PHE-007,Sleep Maintenance Difficulty,Sleep,Frequent nighttime awakenings; difficulty returning to sleep; reduced sleep efficiency; fragmented sleep architecture.,Insomnia; Chronic pain; Depression; Menopause,Arousal circuits; cortical excitability,CES; tDCS (emerging); Neurofeedback (emerging),Emerging,"ISI; sleep diary (WASO, SE% metrics); PSQI; actigraphy if available",Reviewed
PHE-008,Autonomic Dysregulation,Autonomic / Physiological,Abnormal heart rate variability; excessive sympathetic tone; reduced parasympathetic function; somatic symptoms of anxiety.,PTSD; GAD; Fibromyalgia; Chronic fatigue; Autonomic neuropathy,Vagal pathways; autonomic centers,HRV biofeedback; taVNS; CES,Emerging,HRV assessment; blood pressure variability; tilt table if indicated; GAD-7,Reviewed
PHE-009,Inattention-Dominant ADHD,Attention / Executive,"Predominantly inattentive symptoms: difficulty sustaining attention, poor organization, forgetfulness, distractibility without significant hyperactivity.",ADHD (inattentive type); SCT (sluggish cognitive tempo),Left DLPFC; frontal-parietal attention network,Neurofeedback (theta/beta — NOT supported by blinded outcomes); tDCS (emerging); TMS (emerging),Emerging — NOT supported by blinded outcomes for NF,ASRS inattention subscale; Conners inattention scale; BRIEF; CPT,Reviewed
PHE-010,Hyperactive-Impulsive ADHD,Behavioral / Motor,"Predominantly hyperactive-impulsive symptoms: restlessness, fidgeting, difficulty waiting, impulsive decisions, interrupting.",ADHD (hyperactive-impulsive / combined type),Right inferior frontal gyrus; SMA; basal ganglia circuits,Neurofeedback (SMR — NOT supported by blinded outcomes); tDCS (emerging),Emerging — NOT supported by blinded outcomes for NF,ASRS hyperactivity subscale; Conners impulsivity scale; BRIEF inhibition scale,Reviewed
PHE-011,Central Sensitization Pain,Pain / Neurological,Amplified pain processing in CNS; widespread hyperalgesia; allodynia; pain not fully explained by peripheral pathology.,Fibromyalgia; Chronic pain; IBS; TMJ; Chronic migraine,Primary motor cortex (M1); DLPFC; thalamic circuits,rTMS (M1); tDCS (M1 or DLPFC); CES,"Literature-supported (rTMS, tDCS for fibromyalgia)",BPI; VAS/NRS; Central Sensitization Inventory; pain catastrophizing scale,Reviewed
PHE-012,Neuropathic Pain Component,Pain,"Burning, shooting, or electrical pain quality; numbness or tingling; evidence of nerve damage or dysfunction.",Diabetic neuropathy; Post-stroke pain; SCI pain; CRPS,M1 contralateral to pain; thalamic pain circuits,rTMS (M1); tDCS (M1),Literature-supported,SF-MPQ-2 neuropathic subscale; DN4; NRS; pain quality descriptors,Reviewed
PHE-013,Migraine with Aura,Headache / Neurological,"Reversible visual, sensory, or speech symptoms preceding or accompanying migraine headache. Related to cortical spreading depolarization.",Migraine with aura,Occipital cortex (sTMS); vagal pathways (nVNS),sTMS (eNeura — FDA cleared); gammaCore,Guideline-supported,Headache diary; aura tracking; MIDAS; HIT-6,Reviewed
PHE-014,Post-Stroke Motor Deficit (Upper Limb),Motor / Rehabilitation,"Weakness, spasticity, or loss of fine motor control in upper extremity following stroke. Related to disrupted motor cortex and corticospinal tract.",Stroke rehabilitation,Ipsilesional M1 (excitatory); contralesional M1 (inhibitory); bilateral protocols,rTMS (literature-supported); tDCS (emerging); combined with physical therapy,Literature-supported,FMA-UE; ARAT; grip strength; finger dexterity; modified Rankin Scale,Reviewed
PHE-015,Cognitive Impairment Post-TBI,Cognitive / Neurological,"Persistent attention, memory, and processing speed deficits following traumatic brain injury. May include executive dysfunction and emotional dysregulation.",TBI; Post-concussive syndrome,DLPFC; frontal-parietal network,rTMS (emerging); tDCS (emerging); Neurofeedback (emerging),Emerging,MoCA; Trail Making Test; BRIEF-A; neurocognitive battery; PCL-5 if trauma-related,Reviewed
PHE-016,Obsessive Thought Patterns,Psychiatric / Cognitive,"Intrusive, unwanted, repetitive thoughts that cause significant distress. May involve contamination fears, harm thoughts, symmetry/ordering concerns, or religious/sexual obsessions.",OCD; BDD; Eating disorders (obsessive component),ACC/mPFC (Deep TMS); SMA (rTMS); OFC,Deep TMS (BrainsWay H7); rTMS (SMA 1 Hz),Guideline-supported (Deep TMS for OCD),Y-BOCS obsession subscale; OCI-R; CGI,Reviewed
PHE-017,Compulsive Behaviors,Psychiatric / Behavioral,"Repetitive behaviors performed to reduce anxiety from obsessions: washing, checking, counting, ordering. Also includes behavioral compulsions without clear obsessive trigger.",OCD; BDD; Trichotillomania; Tourette's (complex tics),ACC/mPFC; SMA; cortico-striato-thalamic circuits,Deep TMS (BrainsWay H7); rTMS (SMA); DBS (HDE for severe OCD),Guideline-supported (Deep TMS); Literature-supported (rTMS SMA),Y-BOCS compulsion subscale; behavioral tracking; functional impairment assessment,Reviewed
PHE-018,Trauma-Related Hyperarousal,Trauma / Autonomic,"PTSD-specific hyperarousal cluster: exaggerated startle, hypervigilance, sleep disturbance, irritability, concentration difficulty following traumatic exposure.",PTSD; Complex PTSD; Acute stress disorder,Right DLPFC; amygdala-PFC circuits,rTMS (right DLPFC); Neurofeedback (alpha/theta); HRV biofeedback,Literature-supported (TMS for PTSD),PCL-5 hyperarousal cluster (items 16-20); CAPS-5; HRV metrics,Reviewed
PHE-019,Dissociative Symptoms,Trauma / Psychiatric,"Depersonalization, derealization, emotional numbing, identity disruption. May occur in PTSD and other trauma-related conditions.",PTSD (dissociative subtype); Complex PTSD; DID; BPD,Prefrontal cortex; insula; temporal-parietal junction,Neurofeedback (emerging); TMS (experimental for dissociation),Experimental,DES-II (Dissociative Experiences Scale); MDI; CAPS-5 dissociative items,Reviewed
PHE-020,Parkinsonian Tremor,Motor / Neurological,"Resting tremor at 4-6 Hz, typically asymmetric, pill-rolling character. Hallmark of Parkinson's disease motor presentation.",Parkinson's disease; Parkinsonism,STN/GPi (DBS); VIM thalamus,DBS (STN/GPi — FDA approved),Guideline-supported,UPDRS tremor items; accelerometry; clinical tremor rating,Reviewed
PHE-021,Essential Tremor Pattern,Motor / Neurological,"Action tremor (postural and kinetic) at 4-12 Hz, predominantly upper extremity, bilateral. Worsens with intentional movement.",Essential tremor,VIM thalamus (DBS); Vim (MRgFUS),DBS (VIM — FDA approved); MRgFUS thalamotomy (FDA cleared),Guideline-supported,Clinical tremor rating; functional disability assessment; Archimedes spiral,Reviewed
PHE-022,Seizure-Related Neural Activity,Neurological,Abnormal excessive or synchronous neuronal activity causing seizures. Focal or generalized. Drug-refractory pattern.,Epilepsy (drug-resistant),Left cervical vagus nerve (VNS); ANT (DBS),VNS (FDA approved); ANT-DBS (FDA approved),Guideline-supported,EEG; seizure diary; video-EEG monitoring; MRI,Reviewed
PHE-023,Anxious-Depressive Mixed,Mood / Anxiety,"Co-occurring anxiety and depressive symptoms that do not clearly meet criteria for either disorder alone, or comorbid MDD+GAD. Common in clinical practice.",MDD with comorbid anxiety; Mixed anxiety-depression,Left DLPFC (bilateral protocols may be superior),rTMS (bilateral sequential); iTBS; CES; tDCS,Literature-supported,PHQ-9; GAD-7; PHQ-4 combined screener,Reviewed
PHE-024,Treatment Non-Response Pattern,Clinical / Longitudinal,Persistent symptom burden despite adequate trials of ≥2 evidence-based treatments. Suggests need for alternative modalities or augmentation strategies.,TRD; Treatment-resistant anxiety; Refractory OCD; Drug-resistant epilepsy,Varies by condition,Depends on condition — escalation to neuromodulation,Varies,Treatment history documentation; adequate trial verification; pharmacogenomic testing if available,Reviewed
PHE-025,Craving and Addiction-Related,Behavioral / Reward,Intense desire for substance or behavior; loss of control; continued use despite consequences; withdrawal symptoms.,Smoking cessation; Opioid withdrawal; Alcohol use disorder,Bilateral insula/PFC (smoking); auricular vagus nerve (opioid withdrawal),Deep TMS (H4-coil for smoking); taVNS (Sparrow for opioid withdrawal),Guideline-supported (Deep TMS smoking); Literature-supported (taVNS opioid withdrawal),Fagerström (smoking); COWS (opioid); craving VAS; substance use history,Reviewed
PHE-026,Frontal Alpha Asymmetry (qEEG),Neurophysiological / Biomarker,Electroencephalographic pattern showing greater alpha power (indicating lower activity) over left frontal regions relative to right. Associated with depression and withdrawal motivation.,MDD; TRD,Left DLPFC,rTMS (excitatory left DLPFC); Neurofeedback (alpha asymmetry training),Literature-supported (as biomarker; emerging as treatment target),qEEG recording; alpha power asymmetry calculation (F3-F4),Reviewed
PHE-027,Theta/Beta Ratio Elevation (qEEG),Neurophysiological / Biomarker,"Elevated theta-to-beta power ratio on qEEG, historically associated with ADHD. Recent research questions its diagnostic specificity and treatment-predictive value.",ADHD (proposed biomarker); cognitive impairment,Frontal midline; Fz/Cz,Neurofeedback (theta/beta ratio training — NOT supported by blinded outcomes for ADHD),Emerging — specificity questioned,qEEG recording; theta/beta ratio calculation; normative database comparison,Reviewed
PHE-028,Post-Stroke Aphasia,Language / Rehabilitation,"Impairment of language production and/or comprehension following stroke affecting language-dominant hemisphere. Broca's (expressive), Wernicke's (receptive), or global.",Stroke rehabilitation,Perilesional language areas; contralesional homologues,rTMS (emerging); tDCS (emerging) — combined with speech therapy,Emerging,Boston Naming Test; Token Test; WAB (Western Aphasia Battery); discourse analysis,Reviewed
PHE-029,Fatigue-Dominant Presentation,Multi-domain / Functional,"Persistent, disabling fatigue disproportionate to activity level. May involve central fatigue mechanisms. Common comorbidity across multiple conditions.",Fibromyalgia; Depression; TBI; MS; Chronic fatigue syndrome,DLPFC; motor cortex; arousal circuits,tDCS (emerging); rTMS (emerging); HRV biofeedback (emerging),Emerging,Fatigue Severity Scale; Multidimensional Fatigue Inventory; ISI (sleep-related fatigue),Reviewed
PHE-030,Emotional Dysregulation,Psychiatric / Developmental,Difficulty modulating emotional responses; frequent intense emotional reactions; poor frustration tolerance; rapid mood shifts.,ADHD; BPD; ASD; PTSD; TBI,Prefrontal cortex (regulatory); amygdala-PFC circuits,Neurofeedback (emerging); rTMS (emerging); HRV biofeedback,Emerging,DERS (Difficulties in Emotion Regulation Scale); BRIEF emotional control subscale; mood diary,Reviewed
