Map_ID,Condition_ID,Condition_Name,Key_Symptoms,qEEG_Patterns,Key_qEEG_Electrode_Sites,Affected_Brain_Regions,Primary_Networks_Disrupted,Network_Dysfunction_Pattern,Recommended_Neuromod_Techniques,Primary_Stimulation_Targets,Stimulation_Rationale,Review_Status
QCM-011,To verify,MCI (Mild Cognitive Impairment),"Subjective memory complaints, mild objective cognitive decline, preserved daily functioning, word-finding difficulty, reduced processing speed","Intermediate AD-like changes — ↑ theta (less than AD), mildly ↓ alpha, ↓ alpha peak frequency, ↓ alpha/theta ratio, mildly ↑ delta, ↓ EEG complexity","Pz (posterior slowing), T5/T6 (temporal theta), F3/F4 (frontal changes), O1/O2 (alpha peak frequency)","Hippocampus, entorhinal cortex, precuneus, DLPFC, temporoparietal cortex","DMN (early disruption — precuneus/PCC), Frontoparietal/CEN (mildly impaired), Cholinergic pathways (beginning decline)",Precuneus/PCC early disconnection → memory encoding inefficiency; early cholinergic decline → ↓ alpha/↑ theta global shift; DLPFC-hippocampal coupling weakens → verbal memory difficulty,TPS DLPFC/precuneus/LPC; TMS 20 Hz L-DLPFC; tDCS anode DLPFC; tACS 40 Hz gamma; PBM 810 nm 40 Hz,"L-DLPFC (F3), precuneus, LPC, temporal cortex",Gamma entrainment (40 Hz tACS/PBM) promotes amyloid clearance and oscillatory synchrony; DLPFC excitation ↑ cholinergic tone and working memory capacity; TPS multi-target to restore DMN connectivity,Reviewed
QCM-012,COND-012,Tinnitus,"Phantom sound (ringing, buzzing, hissing), hearing difficulty, concentration problems, sleep disturbance, emotional distress, anxiety, depression","↑ gamma power (auditory cortex); ↓ alpha suppression; ↑ theta (auditory cortex — thalamocortical dysrhythmia); ↑ delta; abnormal beta/gamma connectivity fronto-limbic; ↓ low-freq coherence, ↑ high-freq coherence","T3/T4 (temporal — auditory cortex), T5/T6 (posterior temporal), F3/F4 (frontal distress), Fz (frontal entropy), C3/C4","Auditory cortex (hyperactive), inferior colliculus, medial geniculate body, insula, ACC (distress), OFC, parahippocampus, sgACC","Auditory network (hyperactive — thalamocortical dysrhythmia), Distress/limbic network (ACC-OFC-insula-parahippocampus), DMN (altered), Salience network",Thalamic deafferentation → thalamocortical theta burst → auditory cortex gamma rebound = phantom sound; limbic distress network amplifies emotional response to tinnitus percept,TMS 1 Hz L temporal cortex (T3); tDCS bilateral auditory cortex; tRNS bilateral auditory cortex; taVNS; tACS auditory cortex; neurofeedback alpha/SMR,"L temporal cortex/auditory cortex (T3), bilateral temporal cortex, medial geniculate (indirect)",1 Hz TMS inhibits hyperactive auditory cortex gamma burst; tRNS noise stimulation disrupts pathological thalamocortical synchrony; alpha NFB restores inhibitory gating,Reviewed
QCM-013,COND-021,Schizophrenia,"Positive (hallucinations, delusions, disorganized thought), negative (flat affect, avolition, alogia, social withdrawal), cognitive (working memory, attention, executive function deficits)","↑ frontal delta + theta, ↓ alpha (resting eyes-closed), ↑ beta (eyes-open, some), ↓ gamma synchrony (40 Hz ASSR deficit), ↓ P300 amplitude, altered SN-DMN connectivity","Fz, F3/F4 (frontal delta/theta), Cz (midline), T3/T4 (temporal — hallucinations), P3/P4 (P300), O1/O2","DLPFC (hypoactive — negative symptoms), L-TPJ/superior temporal gyrus (hallucinations), ACC, thalamus, hippocampus, insula","DMN (hyperactive — failure to deactivate), Salience (impaired — abnormal SN↔DMN communication), CEN (hypoactive), Auditory/language network (aberrant in hallucinations)",DLPFC hypoactivity → negative symptoms + cognitive deficit; L-STG/TPJ hyperactivity → misattribution of inner speech → auditory hallucinations; DMN failure to deactivate → intrusive self-referential content,TMS 1 Hz L-TPJ for hallucinations; TMS 10-20 Hz L-DLPFC for negative symptoms; tDCS anode L-DLPFC cathode L-TPJ; tACS 10 Hz frontal-temporal; DBS (experimental),"L-TPJ (T5/TP7 — inhibitory), L-DLPFC (F3 — excitatory), frontal-temporal circuits",1 Hz L-TPJ inhibition ↓ hallucination-generating hyperactivity; L-DLPFC excitation ↑ cognitive control and ↓ negative symptoms; dual-site tDCS targets both simultaneously,Reviewed
QCM-014,COND-015,TBI / Concussion,"Headache, dizziness, cognitive fog, memory problems, fatigue, light/noise sensitivity, balance problems, mood changes, sleep disturbance, slowed processing","↑ frontal/temporal theta, ↑ delta, ↓ posterior alpha, ↑ theta/beta ratio, ↑ theta/alpha ratio, ↓ global coherence, ↓ EEG complexity, ↑ slow waves during wakefulness","Fz, F3/F4 (frontal theta/delta), T3/T4 (temporal slowing), Pz (posterior alpha ↓), Cz (central), globally ↓ coherence","PFC (frontal vulnerability), temporal lobes, corpus callosum (DAI/diffuse axonal injury), hippocampus, brainstem, diffuse white matter","DMN (disrupted connectivity), Executive/Frontoparietal (impaired), Sensorimotor (if motor symptoms), Global network efficiency ↓",Diffuse axonal injury disrupts long-range white matter connectivity → ↓ global coherence; frontal vulnerability → theta accumulation → cognitive fog; corpus callosum DAI → interhemispheric disconnection,PBM 810 nm frontal/temporal; tDCS anode DLPFC; PEMF low-freq; CES; neurofeedback,"DLPFC (F3/F4), frontal and temporal cortex, diffuse (systemic via CES/PEMF)",PBM 810 nm promotes mitochondrial function and axonal repair in injured white matter; tDCS DLPFC ↑ cortical excitability; PEMF/CES broad anti-inflammatory and neuroprotective effects,Reviewed
QCM-015,COND-016,Addiction / Substance Use Disorder,"Craving, compulsive use, tolerance, withdrawal, loss of control, continued use despite harm, social/occupational impairment, impulsivity","↑ frontal theta, ↑ beta (alcohol — excess fast beta post-acute), ↓ P300 amplitude, ↑ alpha in alcohol dependence (resting), ↓ frontal alpha asymmetry, ↓ gamma","Fz, F3/F4 (frontal theta/beta), Cz (P300), Pz (P300), T3/T4 (temporal changes)","NAc (reward), DLPFC (impaired control), OFC (compulsive drive), insula (craving/interoception), VTA, ACC, amygdala","Reward/mesolimbic (hyperactive — VTA-NAc-OFC), Executive/CEN (hypoactive — impaired inhibition), Salience (biased toward drug cues), DMN (altered self-referential processing)",Mesolimbic reward hypersensitivity to drug cues vs. blunted response to natural rewards (↓ P300); CEN hypoactivity → impaired inhibitory control → compulsive use; insula interoceptive craving signals overwhelm PFC,TMS 10-20 Hz bilateral DLPFC; tDCS anode DLPFC; Deep TMS bilateral insula/PFC; DBS NAc; LIFU NAc,"DLPFC (bilateral F3/F4), insula, NAc (DBS/LIFU)",DLPFC excitation ↑ inhibitory control over craving; deep TMS insula disrupts interoceptive craving signals; NAc DBS modulates reward circuit hedonic setpoint,Reviewed
QCM-016,COND-007,ADHD,"Inattention, hyperactivity, impulsivity, difficulty sustaining attention, disorganization, poor time management, fidgeting, interrupting, emotional dysregulation",↑ theta/beta ratio (TBR at Cz — classic); excess frontal theta; ↓ beta; subtypes: (1) Maturational lag = ↑ theta + ↓ beta; (2) Hyperarousal = ↑ beta; (3) ↑ alpha (anxiety comorbid); (4) Thalamocortical dysrhythmia = ↑ theta+beta; ↑ delta (some),"Cz (TBR), Fz (frontal theta), F3/F4 (frontal slowing), C3/C4 (central beta ↓), Pz","DLPFC (R+L — hypoactive), ACC (impaired error monitoring), striatum/caudate (dopamine deficit), SMA, PFC, cerebellum","Executive/CEN (hypoactive — poor sustained attention), DMN (fails to deactivate during tasks → DMN interference), Salience (impaired switching), Frontoparietal attention network (underactive), Default-executive anti-correlation (↓)",DLPFC hypoactivity → poor sustained attention; DMN fails to deactivate during cognitive tasks → task-irrelevant mind wandering; CEN-DMN anti-correlation breakdown → ↑ distractibility,"tDCS anode R-DLPFC or bilateral DLPFC; TMS 10 Hz L-DLPFC; neurofeedback TBR (theta ↓, beta ↑, SMR ↑); tACS; CES","R-DLPFC (F4) or bilateral DLPFC (F3/F4), frontal midline (Fz)",DLPFC excitation ↑ catecholamine-driven executive control; TBR neurofeedback operant conditioning directly addresses maturational lag pattern; tACS at beta frequency ↑ cortical tone,Reviewed
QCM-017,COND-018,Essential Tremor,"Action/postural tremor (hands, head, voice), intention tremor, difficulty with fine motor tasks, writing difficulty, social embarrassment",Tremor-frequency coherence (4-12 Hz) in SMA/dlPFC/cerebellum; ↑ low beta (14-21 Hz) desynchronization in SMA during movement; ↑ upper beta (18-30 Hz) ERD in dlPFC; disrupted sequential network engagement; altered frontoparietal beta dynamics,"Cz/FCz (SMA), C3/C4 (motor cortex), F3/F4 (dlPFC), Pz (parietal), cerebellar electrodes","VIM thalamus, cerebellum (lobule VI), SMA, M1, PPC (posterior parietal cortex), dlPFC, premotor cortex","Cerebello-thalamo-cortical circuit (pathological synchrony), Motor/sensorimotor network (disrupted beta dynamics), Frontoparietal network (altered — compensatory), Premotor-parietal circuit",Pathological cerebello-thalamo-cortical synchrony at tremor frequency (4-12 Hz) → rhythmic oscillatory drive to motor cortex → tremor; VIM thalamus acts as pacemaker for this circuit,DBS VIM thalamus; LIFU/MRgFUS thalamus; TMS M1/cerebellum; tACS at tremor frequency (anti-phase),"VIM thalamus (DBS/MRgFUS/LIFU), M1 (C3/C4), cerebellum",VIM DBS/ablation disrupts pathological thalamic pacemaker oscillation; anti-phase tACS at tremor frequency desynchronizes cerebello-thalamo-cortical loop; cerebellar TMS normalizes Purkinje cell output,Reviewed
QCM-018,To verify,Dystonia,"Sustained or intermittent muscle contractions causing abnormal postures/movements, writer's cramp, torticollis, blepharospasm, pain","↓ sensorimotor beta, abnormal beta rebound post-movement, ↑ alpha coherence, altered sensorimotor integration, ↓ post-movement beta rebound (similar to PD but distinct pattern)","C3/C4 (sensorimotor beta), Cz/FCz (SMA), F3/F4 (frontal)","GPi (pathological low-freq oscillations), putamen, SMA, M1, premotor cortex, cerebellum, sensory cortex, thalamus","Basal ganglia-thalamocortical loop (impaired inhibition — excess pallidal output), Sensorimotor network (abnormal plasticity — maladaptive LTP), Cerebellar circuit",GPi excessive inhibitory output → thalamic suppression → inadequate cortical brake on aberrant movements; maladaptive sensorimotor plasticity → fixed dystonic patterns; ↓ inhibitory surround in M1,DBS GPi 130 Hz; TMS SMA/premotor cortex; tDCS cathodal M1,"GPi (DBS 130 Hz), SMA (FCz), premotor cortex, M1 (cathodal)",GPi DBS normalizes excessive pallidal output → restores thalamocortical drive balance; cathodal M1 ↓ cortical excitability to reduce dystonic overflow; SMA TMS disrupts maladaptive motor programs,Reviewed
QCM-019,COND-024,Multiple Sclerosis,"Fatigue, visual disturbances, numbness/tingling, weakness, spasticity, cognitive impairment, pain, bladder dysfunction, balance problems","↑ theta + delta, ↓ alpha, ↓ alpha peak frequency, ↑ theta/alpha ratio, ↓ P300 amplitude, cognitive fatigue correlates with ↑ frontal theta","Fz, F3/F4 (frontal theta/fatigue), Pz (posterior alpha ↓), C3/C4 (central), O1/O2","Widespread white matter lesions, corpus callosum, periventricular areas, brainstem, cerebellum, optic nerves","Sensorimotor network (disrupted by demyelination), Executive network (cognitive fatigue), Visual network (optic neuritis), Global connectivity ↓","Demyelination → slowed conduction velocity → ↑ theta/delta, ↓ alpha; corpus callosum lesions → ↓ interhemispheric coherence; frontal theta excess correlates directly with cognitive fatigue severity",PEMF; tRNS 2 mA M1 (pain/spasticity); TMS; tDCS,"M1 (C3/C4), DLPFC (F3/F4), spinal cord (indirect via cortical targets)",PEMF broad neuroprotective and anti-inflammatory; tRNS M1 ↓ spasticity via cortical modulation; tDCS DLPFC targets fatigue-related frontal slowing; TMS for depression/fatigue comorbidity,Reviewed
QCM-020,COND-025,Fibromyalgia,"Widespread pain, tenderness, fatigue, cognitive dysfunction (fibro-fog), sleep disturbance, headaches, IBS, anxiety, depression","↑ theta power (concentrated slowing), ↑ theta/alpha + theta/beta ratios, ↓ delta (R insula), ↑ beta (R middle frontal, midcingulate), ↓ alpha peak frequency, ↓ EO/EC reactivity, ↑ centro-parietal theta/beta coherence","Cz, C3/C4 (central theta), Fz (frontal slowing), Pz, P3/P4 (parietal theta), T3/T4 (temporal), O1/O2 (alpha peak)","Thalamus (↓ activity), PFC (grey matter loss), ACC, insula, M1, S1, midcingulate","Pain matrix/Salience (sensitized — central sensitization), DMN (disrupted), Thalamocortical dysrhythmia circuit, Descending pain modulation (impaired)",Central sensitization — thalamocortical dysrhythmia → widespread pain amplification; descending PAG modulation impaired → no pain gating; insula ↓ delta paradoxically → ↑ pain interoception,tDCS anode M1 2 mA; TMS M1/DLPFC; CES; taVNS; PEMF,"M1 (C3/C4), DLPFC (F3/F4), thalamus (indirect)",M1 tDCS activates descending corticothalamic pain inhibition; DLPFC targets cognitive/affective pain component and fibro-fog; CES/taVNS normalizes autonomic imbalance and ↓ central sensitization,Reviewed
QCM-021,To verify,Autism Spectrum Disorder (ASD),"Social communication deficits, restricted/repetitive behaviors, sensory sensitivities (hyper/hypo), difficulty with transitions, special interests, executive function challenges","U-shaped power profile — ↑ low-freq (delta/theta) + ↑ high-freq (beta/gamma), ↓ midrange alpha + beta; ↓ alpha (eyes-open — ↓ inhibitory control); excess beta in Dup15q; ↓ long-range connectivity; ↑ local connectivity","Fz, F3/F4 (frontal changes), Cz (central), T3/T4 (temporal), P3/P4 (parietal), globally altered","PFC, temporal cortex, fusiform gyrus (face processing), amygdala, cerebellum, STS (superior temporal sulcus)","Social brain network (impaired — STS, fusiform, amygdala, mPFC), DMN (atypical connectivity), Mirror neuron network (altered), Long-range underconnectivity + local overconnectivity pattern",Long-range underconnectivity → poor social brain network integration; local overconnectivity → restricted/repetitive processing; ↓ alpha in social cortex → ↓ inhibitory gating of sensory input → sensory sensitivity,TMS DLPFC/SMA; TPS (emerging); tDCS DLPFC; neurofeedback,"DLPFC (F3/F4), SMA (FCz), temporal/social cortex",DLPFC TMS/tDCS targets executive function and repetitive behaviors; SMA modulation ↓ motor stereotypies; neurofeedback alpha training → ↑ social cortex inhibitory gating; TPS to enhance long-range connectivity,Reviewed
QCM-022,COND-022,Disorders of Consciousness (DOC),"Impaired awareness, reduced/absent responsiveness, vegetative state, minimally conscious state, coma, fluctuating awareness",Generalized delta/theta dominance; absent/severely ↓ alpha/beta; loss of normal sleep architecture; ↓ EEG complexity/entropy; absent posterior dominant rhythm; ↓ reactivity to stimulation; theta patterns may indicate minimal consciousness,"Global (all channels), Fz/Cz/Pz (midline), C3/C4, O1/O2","Thalamus (intralaminar nuclei, CL, CM-Pf), brainstem reticular formation, PFC, precuneus, posterior cingulate","ARAS/ascending arousal system (severely impaired), Thalamocortical system (disconnected), DMN (disrupted — correlates with consciousness level), Frontoparietal network (connectivity predicts recovery)",ARAS-thalamic disconnection → absent arousal drive → suppressed cortical EEG; thalamocortical relay failure → delta dominance; frontoparietal connectivity level correlates with degree of awareness,TMS R-DLPFC or M1; tDCS anode L-DLPFC; DBS intralaminar thalamus; LIFU thalamus,"L-DLPFC (F3), intralaminar thalamus (CL/CM-Pf), M1",Intralaminar thalamic DBS restores thalamocortical arousal drive; L-DLPFC excitation from non-invasive devices attempts to re-engage frontoparietal consciousness network; LIFU deep thalamic targeting is minimally invasive,Reviewed
