asset_id,title,kind,relative_path,hydrated,pages,bytes,year,lead_author,topical_tags,analyzer_use,agent_use,note
paper-901a048af143,"Article Summary:Arns, M., de Ridder, S., Strehl, U., Breteler, M., & Coenen, A. (2009). Efficacy ofNeurofeedback treatment in ADHD: The effects on inattention, Impulsivity and H...",article_summary,Arns2009ArticleSummarydocx-220304-141834.pdf,True,1,178870,2009,Arns,psychopharmacology | artifact | adhd | neurofeedback | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Arns2009ArticleSummarydocx-220304-141834.pdf
paper-c09cd9bcfcf0,"Article Summary:Coben, R., & Padolsky, I. (2007). Assessment-guided Neurofeedback for autistic spectrumdisorder. Journal of Neurotherapy, 11(1), 5–23. doi:10.1300/j184v11n01_02",article_summary,Coben2007ArticleSummarydocx-220304-140152 - Copy.pdf,True,1,178394,2007,Coben,psychopharmacology | artifact | connectivity | autism | neurofeedback | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Coben2007ArticleSummarydocx-220304-140152 - Copy.pdf
paper-e9690ba2671d,Independent EEG Sources Are Dipolar,research_pdf,Delorme2012IndependentEEGSourcesAreDipolar-220304-135752.pdf,True,14,1326966,2012,Delorme,artifact | connectivity | gamma | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Delorme2012IndependentEEGSourcesAreDipolar-220304-135752.pdf
paper-1ec75a5e7096,"Article Summary:Delorme, A, Palmer, J, Onton, J, Oosterveld, R, Makeig, S. (2012) Independent EEG SourcesAre Dipolar. PLoSOne 7(2): 30135. Doi: 10.1371/journal.pone.0030135",article_summary,Delorme2021ArticleSummarydocx-220304-135742.pdf,True,1,175999,2021,Delorme,artifact,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Delorme2021ArticleSummarydocx-220304-135742.pdf
paper-9551c2ccdce1,Note,research_pdf,Dhar2010Reducedinterhemisphericcoherenceindyslexicadults-220304-135558.pdf,True,5,221321,2010,Dhar,artifact | connectivity | adhd | autism | reading | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Dhar2010Reducedinterhemisphericcoherenceindyslexicadults-220304-135558.pdf
paper-427fe710ca3d,1 MEDICATION TABLE FOR 5 HALF LIFES 7/28/2023,reference_sheet,DrugHalfLifeChartxlsSheet1-230728-120414 - Copy.pdf,True,18,96016,2041,DrugHalfLifeChartxlsSheet,psychopharmacology | artifact | gamma,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: DrugHalfLifeChartxlsSheet1-230728-120414 - Copy.pdf
paper-14e22eb5cbac,"Article Summary:Enoch, M.A., Shen, P.-H., Ducci, F., Yuan, Q., Liu, J., White, K. V., … Goldman, D. (2008).Common genetic origins for EEG, alcoholism and anxiety: The role of CR...",article_summary,Enoch2008ArticleSummarydocx-220304-142046.pdf,True,2,188085,2008,Enoch,artifact | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Enoch2008ArticleSummarydocx-220304-142046.pdf
paper-8fa7a9512fa7,"Common Genetic Origins for EEG, Alcoholism and",research_pdf,Enoch2008CommongeneticoriginsforEEGalcoholismandanxiety-220304-142053.pdf,True,11,511580,2008,Enoch,psychopharmacology | artifact | connectivity | dementia | gamma | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Enoch2008CommongeneticoriginsforEEGalcoholismandanxiety-220304-142053.pdf
paper-ef23fc6b6b1a,The electroencephalography of encephalopathy in patients with,research_pdf,Faigle 2013 - The electroencephalography of encephalopathy in patients with endocrine and metabolic disorders.pdf,True,25,3110513,2013,Faigle,psychopharmacology | artifact | adhd | dementia | reading | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Faigle 2013 - The electroencephalography of encephalopathy in patients with endocrine and metabolic disorders.pdf
paper-19975f452d5b,Drug exposure and EEG/qEEG findings,research_pdf,Gunkelman2009DrugexposureandEEG_qEEGfindings-220304-141716 (1).pdf,True,6,178925,2009,Gunkelman,psychopharmacology | artifact | connectivity | reading | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Gunkelman2009DrugexposureandEEG_qEEGfindings-220304-141716 (1).pdf
paper-70416e6eeeb2,"Article Summary:Gunkelman, J., (2009). Drug exposure and EEG/qEEG findings: A technical guide. Brain ScienceInternational. Pleasanton, CA",article_summary,Gunkelman2012ArticleSummarydocx-220304-141710.pdf,True,1,177208,2012,Gunkelman,psychopharmacology | artifact | connectivity | reading | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Gunkelman2012ArticleSummarydocx-220304-141710.pdf
paper-9a691c77adcf,"Article Summary:Herrmann, C., & Demiralp, T. (2005). Human EEG gamma oscillations in neuropsychiatricdisorders. Clinical Neurophysiology, 116(12), 2719–2733. doi:10.1016/j.clinp...",article_summary,Herrmann2005ArticleSummarydocx-220304-135125.pdf,True,1,176839,2005,Herrmann,artifact | connectivity | adhd | dementia | gamma | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Herrmann2005ArticleSummarydocx-220304-135125.pdf
paper-af4b4928f089,Invited review,research_pdf,Herrmann2005HumanEEGgammaoscillationsinneuropsychiatricdisorders-220304-135132.pdf,True,15,332566,2005,Herrmann,psychopharmacology | artifact | connectivity | adhd | autism | dementia | gamma | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Herrmann2005HumanEEGgammaoscillationsinneuropsychiatricdisorders-220304-135132.pdf
paper-a642795fb9b2,Decreased EEG synchronization in Alzheimer’s disease and,research_pdf,Koenig2005DecreasedEEGsynchronizationinAlzheimersdiseaseandmildcognitiveimpairment-220304-092450.pdf,True,24,138152,2005,Koenig,psychopharmacology | artifact | connectivity | dementia | gamma | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Koenig2005DecreasedEEGsynchronizationinAlzheimersdiseaseandmildcognitiveimpairment-220304-092450.pdf
paper-25c6d5b68e3d,"Article Summary:Li, B. J., Friston, K., Mody, M., Wang, H. N., Lu, H. B., & Hu, D. W. (2018). A brain network model fordepression: From symptom understanding to disease interven...",article_summary,Li2018ArticleSummarydocx-220304-085902.pdf,True,1,187268,2018,Li,artifact | connectivity | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Li2018ArticleSummarydocx-220304-085902.pdf
paper-4b4bb5b7b296,"Article Summary:Machado, C., Estévez, M., Leisman, G., Melillo, R., Rodríguez, R., DeFina, P., … Beltrán, C.(2013). QEEG spectral and coherence assessment of autistic children i...",article_summary,Machado2013ArticleSummarydocx-220304-140221.pdf,True,2,186910,2013,Machado,artifact | connectivity | autism | gamma | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Machado2013ArticleSummarydocx-220304-140221.pdf
paper-a98eba2dc449,ORIGINAL PAPER,research_pdf,Machado2013QEEGspectralandcoherenceassessmentofautisticchildreninthreedifferent-220304-140230.pdf,True,19,2227361,2013,Machado,psychopharmacology | artifact | connectivity | adhd | autism | gamma | reading | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Machado2013QEEGspectralandcoherenceassessmentofautisticchildreninthreedifferent-220304-140230.pdf
paper-89a14202e3a0,"Article Summary:Makeig, S. and Onton, J. (2009) ERP Features and EEG Dynamics: AN ICA Perspective (AnInvited Chapter) Swartz Center for Computational Neuroscience, Institute for...",article_summary,Makeig2009ArticleSummarydocx-220304-090528.pdf,True,2,178246,2009,Makeig,artifact,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Makeig2009ArticleSummarydocx-220304-090528.pdf
paper-84d388c41046,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/228639595",research_pdf,Makeig2009ERPFeaturesandEEGDynamics_ANICAPerspective-220304-090538.pdf,True,59,2914483,2009,Makeig,artifact | connectivity | gamma | reading | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Makeig2009ERPFeaturesandEEGDynamics_ANICAPerspective-220304-090538.pdf
paper-114ec52a06d3,"Article Summary:Nuwer, M., (1997) Assessment of digital EEG, quantitative EEG and EEG brain mapping.Neurology:49. 277-292",article_summary,Nuwer1997ArticleSummarydocx-220304-141132.pdf,True,1,175720,1997,Nuwer,psychopharmacology | artifact | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Nuwer1997ArticleSummarydocx-220304-141132.pdf
paper-9737af9f9fb6,1997;49;277Neurology,research_pdf,Nuwer1997AssessmentofdigitalEEGquantitativeEEGandEEGbrainmapping-220304-141136.pdf,True,18,2477874,1997,Nuwer,psychopharmacology | artifact | connectivity | adhd | dementia | reading | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Nuwer1997AssessmentofdigitalEEGquantitativeEEGandEEGbrainmapping-220304-141136.pdf
paper-57f26368a192,Journal of Neurotherapy: Investigations in,research_pdf,RatcliffBaird2002ADHDandStuttering_SimilarEEGprofilessuggestNeurotherapyas-220304-090320.pdf,True,19,697762,2002,RatcliffBaird,psychopharmacology | artifact | connectivity | adhd | reading | neurofeedback | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: RatcliffBaird2002ADHDandStuttering_SimilarEEGprofilessuggestNeurotherapyas-220304-090320.pdf
paper-8464d20be27e,"Article Summary:Ratcliff-Baird, B. (2002). ADHD and Stuttering: Similar EEG profiles suggest Neurotherapy asan adjunct to traditional speech therapies. Journal of Neurotherapy, ...",article_summary,RatcliffBaird2002ArticleSummarydocx-220304-090308.pdf,True,2,179421,2002,RatcliffBaird,artifact | adhd | reading | neurofeedback,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: RatcliffBaird2002ArticleSummarydocx-220304-090308.pdf
paper-e46932337900,"Article Summary:Salinsky, M. C., Binder, L. M., Oken, B. S., Storzbach, D., Aron, C. R., & Dodrill, C. B. (2002).Effects of Gabapentin and carbamazepine on the EEG and Cognition...",article_summary,Salinsky2002ArticleSummarydocx-220304-141311.pdf,True,1,177976,2002,Salinsky,psychopharmacology | artifact | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Salinsky2002ArticleSummarydocx-220304-141311.pdf
paper-1146ccf17729,Clinical Research,research_pdf,Salinsky2002EffectsofGabapentinandcarbamazepineontheEEGandCognitioninhealthyvolunteers-220304-141317.pdf,True,9,263239,2002,Salinsky,psychopharmacology | artifact | connectivity | dementia | reading | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Salinsky2002EffectsofGabapentinandcarbamazepineontheEEGandCognitioninhealthyvolunteers-220304-141317.pdf
paper-165e26b1f574,Accelerating the world's research.,research_pdf,Sherlin2010ApositionpaperonneurofeedbackforthetreatmentofADHD-220304-140247.pdf,True,16,828818,2010,Sherlin,psychopharmacology | artifact | adhd | autism | reading | neurofeedback | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Sherlin2010ApositionpaperonneurofeedbackforthetreatmentofADHD-220304-140247.pdf
paper-99b144049862,"Article Summary:Sherlin, L., Arns, M., Lubar, J., & Sokhadze, E. (2010). A position paper on Neurofeedback forthe treatment of ADHD. Journal of Neurotherapy, 14(2), 66–78.doi:10...",article_summary,Sherlin2010ArticleSummarydocx-220304-140240.pdf,True,1,176521,2010,Sherlin,artifact | adhd | neurofeedback | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Sherlin2010ArticleSummarydocx-220304-140240.pdf
paper-97635902f932,"Article Summary:Solso, S., Xu, R., Proudfoot, J., Hagler, D. J., Campbell, K., Venkatraman, V., … Courchesne, E.(2015). Diffusion Tensor imaging provides evidence of possible Ax...",article_summary,Solso2015ArticleSummarydocx-220304-140420.pdf,True,1,192491,2015,Solso,artifact | connectivity | autism | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Solso2015ArticleSummarydocx-220304-140420.pdf
paper-c270f19f37ba,Archival Report,research_pdf,Solso2015DiffusionTensorimagingprovidesevidenceofpossibleAxonalOverconnectivityinfrontallobesinautismspectrumdisordertoddlers-220304-140424.pdf,True,9,1073179,2015,Solso,artifact | connectivity | autism | reading | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Solso2015DiffusionTensorimagingprovidesevidenceofpossibleAxonalOverconnectivityinfrontallobesinautismspectrumdisordertoddlers-220304-140424.pdf
paper-f58e722d85cd,Article Summary:,article_summary,Thatcher2008ArticleSummarydocx-220304-140616.pdf,True,1,188155,2008,Thatcher,artifact | connectivity,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Thatcher2008ArticleSummarydocx-220304-140616.pdf
paper-e20e113b4e3d,"Article Summary:Thornton, K., (2002), Electrophysiology (QEEG) correlates of effective reading memory:Towards a generator/activation theory of the mind. J. Neurotherapy:6(3). 37-66",article_summary,Thornton2002ArticleSummarydocx-220304-141147.pdf,True,1,176815,2002,Thornton,artifact | connectivity | reading | neurofeedback | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Thornton2002ArticleSummarydocx-220304-141147.pdf
paper-15b99da263da,"Journal of Neurotherapy: Investigations in Neuromodulation,",research_pdf,Thornton2002ElectrophysiologyQEEGcorrelatesofeffectivereadingmemory_Towardsagenerator_activationtheoryofthemind-220304-141154.pdf,True,31,1150276,2002,Thornton,psychopharmacology | artifact | connectivity | adhd | reading | neurofeedback | reporting,"Use when beta excess, slowing, or altered arousal may be medication- or stimulant-related rather than intrinsic dysfunction.","Use for medication and substance-confound explanations in analyzer, raw-review, and report narratives.",Readable local file. Source file: Thornton2002ElectrophysiologyQEEGcorrelatesofeffectivereadingmemory_Towardsagenerator_activationtheoryofthemind-220304-141154.pdf
paper-1f6982d2cb7f,NeuroRegulation,research_pdf,Thornton2014AQEEGactivationmethodologywhichobtains100accuracyinthediscriminationtraumaticbraininjuredfromnormalanddoesthelearningdisabledshowthebraininjurypattern_-220304-135314.pdf,True,10,668516,2014,Thornton,artifact | connectivity | adhd | gamma | reading | neurofeedback | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Thornton2014AQEEGactivationmethodologywhichobtains100accuracyinthediscriminationtraumaticbraininjuredfromnormalanddoesthelearningdisabledshowthebraininjurypattern_-220304-135314.pdf
paper-0a26a67ab0cd,"Article Summary:Thornton, K. (2014). A QEEG activation methodology which obtains 100% accuracy in thediscrimination traumatic brain injured from normal and does the learning dis...",article_summary,Thornton2014ArticleSummarydocx-220304-135304.pdf,True,1,176060,2014,Thornton,artifact | connectivity | reading | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Thornton2014ArticleSummarydocx-220304-135304.pdf
paper-b16c9c38ce53,"Article Summary:Zarei, M., Johansen-Berg, H., Smith, S., Ciccarelli, O., Thompson, A. J., & Matthews, P. M.(2006). Functional anatomy of interhemispheric cortical connections in...",article_summary,Zarei2006ArticleSummarydocx-220304-142228.pdf,True,1,177379,2006,Zarei,artifact | connectivity,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Zarei2006ArticleSummarydocx-220304-142228.pdf
paper-a6ada490e060,J. Anat.,research_pdf,Zarei2006Functionalanatomyofinterhemisphericcorticalconnectionsinthehumanbrain-220304-142233.pdf,True,10,252760,2006,Zarei,artifact | connectivity | dementia | reading | reporting,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: Zarei2006Functionalanatomyofinterhemisphericcorticalconnectionsinthehumanbrain-220304-142233.pdf
paper-86f09372acc4,INSTRUCTIONS:,reference_sheet,kharrazian-institute-brain-region-localization-form-digital.pdf,True,3,512767,,Local course,artifact,Use when separating source-level or ICA-style artifact reasoning from brain-based findings.,Use for artifact-reduction guidance when AI or staff need literature support for rejecting contaminated segments.,Readable local file. Source file: kharrazian-institute-brain-region-localization-form-digital.pdf
